...1,item_number,description,category,item_link
28,cre011,"Max, Red Torso, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre011
29,js024,Mechanic in Green Overalls with Octan Pattern,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js024
30,4j012,Peter Parker (Junior-Fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j012
31,4j011,Pirates - Cannonball Jimmy,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j011
32,4j015,Pirates - Captain Kragg,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j015
33,4j014,Pirates - Captain Redbeard,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j014
34,4j016,Pirates - Drake Dagger,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j016
35,4j010,Pirates - Harry Hardtack,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j010
36,4j013,Pirates - Jolly Jack Crow,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j013
37,4j009,Pirates - Scurvy Dog,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j009
38,4j007,"Police - Black Legs, Black Jacket, White Helmet, Light Nougat Head",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j007
39,4j002,"Police - Black Legs, Black Jacket, White Helmet, Yellow Head",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j002
40,4j017,"Police - Blue Legs, Black Jacket, Black Cap",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j017
41,js016,"Police - Blue Legs, Black Jacket, Black Cap with Star",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js016
42,js012,"Police - Blue Legs, Black Jacket, Blue Cap with Star, Sunglasses",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js012
43,4j008,"Police - Blue Legs, Black Jacket, Blue Cap, Sunglasses",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j008
44,js005,"Police - Blue Legs, Black Jacket, Blue Helmet (Female)",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js005
45,js003,Res-Q - Cap,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js003
46,js010,Res-Q - Closed Faced Helmet,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js010
47,js029,Res-Q - Female,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js029
48,js014,Res-Q - Open Faced Helmet and Sunglasses,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js014
49,js018,Res-Q - Open Faced Helmet without Sunglasses,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js018
50,4j004,Spider-Man (4 Juniors Minifigure),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j004
51,cre001,"Tina, Orange Torso, Light Gray Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre001
52,cre010,"Tina, Red Torso and Red Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre010
53,cre005,"Tina, White Torso and Red Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre005
54,4j006,"Tractor Driver With Blue Overalls, Red Shirt, Plain Blue Cap, Beard Stubble",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j006
55,4j001,Truck Driver with Brown Beard and Mirror Sunglasses,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j001
56,adv001,Achu,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv001
57,adv002,Alexis Sanister,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv002
58,adv027,Babloo,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv027
59,adv004,Baron Von Barron with Brown Aviator Cap,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv004
60,adv005,Baron Von Barron with Light Gray Aviator Cap,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv005
61,adv003,Baron Von Barron with Pith Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv003
62,adv039,Baron Von Barron with Pith Helmet and White Epaulettes,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv039
63,adv006,Dr. Charles Lightning,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv006
64,adv040,Dr. Charles Lightning with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv040
65,adv033,Dr. Kilroy - Gray Suit,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv033
66,adv035,"Dr. Kilroy - Green Vest, Green Legs",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv035
67,adv026,"Dr. Kilroy - Green Vest, White Legs",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv026
68,adv046,Dragon Fortress Guard - Conical Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv046
69,adv047,"Dragon Fortress Guard - Conical Helmet, Quiver",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv047
70,adv045,"Dragon Fortress Guardian - Bat Helmet, Armor",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv045
71,adv048,Emperor Chang Wu with Cape,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv048
72,adv008,Gabarros,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv008
73,adv009,Harry Cane,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv009
74,adv050,Jing Lee the Wanderer,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv050
75,adv010,Johnny Thunder (Desert),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv010
76,adv041,Johnny Thunder (Desert) with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv041
77,adv010a,Johnny Thunder (Desert) with LEGO Logo on Back,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv010a
78,adv024,Johnny Thunder (Expedition),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv024
79,adv054,Johnny Thunder (Expedition) with Plain Tan Legs,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv054
80,adv051,Johnny Thunder in Desert Outfit with Cleft Chin (Orient Expedition),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv051
81,adv037,Johnny Thunder with Tan Legs with Pockets and Black Hands,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv037
82,adv038,"Lord Sam Sinister - Suit with 3 Buttons Black - Black Legs, Top Hat",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv038
83,adv036,Lord Sam Sinister with Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv036
84,adv025,Lord Sam Sinister with Black Top Hat,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv025
85,adv030,Maharaja Lallu,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv030
86,adv012,Max Villano,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv012
87,adv042,Max Villano with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv042
88,adv014,Mike,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv014
89,adv015,Miss Gail Storm (Desert),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv015
90,adv018,Miss Gail Storm (Dino Island) with Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv018
91,adv016,Miss Gail Storm (Jungle) with Pith Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv016
92,adv044,"Miss Gail Storm (Jungle) with Pith Helmet, Backpack",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv044
93,adv019,Mr. Cunningham with Black Hips,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv019
94,adv020,Mr. Cunningham with Brown Hips,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv020
95,adv032,Ngan Pa (Yeti Hunter),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv032
96,adv021,Pharaoh Hotep,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv021
97,adv049,Pippin Reed - Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv049
98,adv028,Pippin Reed - Parka,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv028
99,adv034,Pippin Reed - Shirt and Camera,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv034
100,adv031,Scorpion Palace Guard,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv031
101,adv023,Señor Palomar (Senor Palomar),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv023
102,adv043,Señor Palomar with Backpack (Senor Palomar),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv043
103,adv029,Sherpa Sangye Dorje with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv029
104,gen004,Skeleton with Evil Skull,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen004
105,gen007,"Skeleton with Standard Skull, White Mummy Headdress",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen007
106,gen008,"Skeleton with Standard Skull, Yellow Mummy Headdress",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen008
107,gen006,"Skeleton with Standard Skull, Yellow Mummy Headdress with Pattern",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen006
108,adv053,Snake Charmer (Undetermined Eyebrows),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053
109,adv053a,"Snake Charmer, Black Eyebrows",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053a
110,adv053b,"Snake Charmer, Reddish Brown Eyebrows",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053b
111,agt011,Agent Charge,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt011
112,agt030,Agent Charge - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt030
113,agt006,Agent Charge - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt006
114,agt025,Agent Chase - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt025
115,agt020,Agent Chase - Diving Gear - Dual Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt020
116,agt020a,Agent Chase - Diving Gear - Single Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt020a
117,agt001,Agent Chase - Dual Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt001
118,agt004,"Agent Chase - Dual Sided Head, Neck Bracket",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt004
119,agt018,Agent Chase - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt018
120,agt001a,Agent Chase - Single Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt001a
121,agt010,Agent Fuse,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt010
122,agt022,Agent Fuse - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt022
123,agt009,Agent Fuse - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt009
124,agt029,Agent Swift - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt029
125,agt021,Agent Swipe,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt021
126,agt002,Agent Trace,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt002
127,agt003,Break Jaw,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt003
128,agt016,Claw-Dette,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt016
129,agt023,Dollar Bill,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt023
130,agt026,Dr. D. Zaster,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt026
131,agt013a,Dr. Inferno (Metallic Silver Claw),Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt013a
132,agt013,Dr. Inferno (Pearl Light Gray Claw),Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt013
133,agt024,Dyna-Mite,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt024
134,agt017,Fire Arm,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt017
135,agt007,Gold Tooth,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt007
136,agt012,Gold Tooth - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt012
137,agt008,Henchman,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt008
138,agt027,Magma Commander,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt027
139,agt028,Magma Drone,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt028
140,agt005,Saw Fist,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt005
141,agt019,Slime Face,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt019
142,agt014,"Spy Clops, Black Legs",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt014
143,agt015,"Spy Clops, Pearl Light Gray Legs",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt015
144,alp021,Alpha Team Android,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp021
145,alp031,Arrow - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp031
146,alp001,Cam,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp001
147,alp025,Cam,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp025
148,alp023,Cam with Black Flippers,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp023
149,alp002,Charge,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp002
150,alp015,Charge,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp015
151,alp024,Charge - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp024
152,alp003,Crunch,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp003
153,alp016,Crunch,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp016
154,alp004,Dash,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp004
155,alp017,Dash,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp017
156,alp026,Dash - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp026
157,alp017a,Dash with Black Flippers,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp017a
158,alp032,Diamond - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp032
159,alp005,Flex,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp005
160,alp010,Flex,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp010
161,alp027,Flex - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp027
162,alp029,Ogel - Trans-Medium Blue Hook,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp029
163,alp019,Ogel Minion,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp019
164,alp022,Ogel Minion - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp022
165,alp006,Ogel Minion Commander,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp006
166,alp018,Ogel Minion Commander with Emblem on Torso,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp018
167,alp033,"Ogel Minion, Super Ice Drone - Alpha Team Arctic",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp033
168,alp008,"Ogel, Black Hands",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp008
169,alp020,"Ogel, Trans-Red Hook",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp020
170,alp009,Radia,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp009
171,alp012,Radia,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp012
172,alp028,Radia - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp028
173,alp007,Tee Vee,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp007
174,alp030,Zed,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp030
175,aqu001,Aquanaut 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu001
176,aqu001a,Aquanaut 1 with Blue Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu001a
177,aqu002,Aquanaut 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu002
178,aqu003,Aquanaut 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu003
179,aqu029,Aquanaut 3 with Blue Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu029
180,aqu004,Aquaraider 1 with Hook,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu004
181,aqu005,Aquaraider 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu005
182,aqu015a,Aquaraider Diver 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu015a
183,aqu016a,Aquaraider Diver 2 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu016a
184,aqu017,Aquaraider Diver 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu017
185,aqu027,Aquaraider Diver 4 - Black Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu027
186,aqu018,Aquaraider Diver 4 - Dark Bluish Gray Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu018
187,aqu019,Aquaraider Diver 5 - Black Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu019
188,aqu024,Aquaraider Diver 5 - Dark Bluish Gray Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu024
189,aqu025,Aquaraider Diver 6 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu025
190,aqu021,Aquaraider Diver 7,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu021
191,aqu022,Aquaraider Diver 8,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu022
192,aqu023,Aquaraider Diver 8 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu023
193,aqu026,Aquaraider Diver 9 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu026
194,aqu006,Aquashark 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu006
195,aqu006a,Aquashark 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu006a
196,aqu007,Aquashark 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu007
197,aqu008,Aquashark Hybrid,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu008
198,aqu010,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu010
199,aqu016,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu016
200,aqu020,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu020
201,aqu009,Hydronaut 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu009
202,aqu030,Hydronaut 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu030
203,aqu031,Hydronaut 2 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu031
204,aqu011,Hydronaut 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu011
205,aqu028,Hydronaut 3 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu028
206,gen016,"Skeleton with Evil Skull, Black Aquaraiders II Helmet (Squid Victim)",Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=gen016
207,gen017,"Skeleton with Evil Skull, Crown",Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=gen017
208,aqu012,Stingray 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu012
209,aqu012a,Stingray 1 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu012a
210,aqu013,Stingray 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu013
211,aqu013a,Stingray 2 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu013a
212,aqu014,Stingray 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu014
213,aqu014a,Stingray 3 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu014a
214,atl015,Atlantis Barracuda Guardian,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl015
215,atl001,Atlantis Diver 1 - Axel,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl001
216,atl010,Atlantis Diver 1 - Axel - With Horizontal Lights,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl010
217,atl012,Atlantis Diver 1 - Axel - With Vertical Lights,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl012
218,atl016,Atlantis Diver 1 - Axel - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl016
219,atl002a,Atlantis Diver 2 - Bobby,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl002a
220,atl002,Atlantis Diver 2 - Bobby with Flippers,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl002
221,atl005,Atlantis Diver 3 - Ace Speedman,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl005
222,atl024,"Atlantis Diver 3 - Ace Speedman - With Lights, Propeller, Yellow Flippers and Trans-Yellow Visor",Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl024
223,atl011,Atlantis Diver 3 - Ace Speedman - With Propeller,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl011
224,atl006a,Atlantis Diver 4 - Lance Spears,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl006a
225,atl018,Atlantis Diver 4 - Lance Spears - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl018
226,atl006,Atlantis Diver 4 - Lance Spears with Flippers,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl006
227,atl008,Atlantis Diver 5 - Samantha Rhodes,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl008
228,atl022,Atlantis Diver 5 - Samantha Rhodes - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl022
229,atl009,Atlantis Diver 6 - Jeff Fisher,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl009
230,atl014,Atlantis Diver 6 - Jeff Fisher - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl014
231,atl023,Atlantis Diver 7 - Brains - With Yellow Flippers and Trans-Yellow Visor,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl023
232,atl017,Atlantis Hammerhead Warrior,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl017
