item_number,description,category
sw0482,Battle Droid Commander (Dark Orange),Star Wars Episode 2
sw0467b,Battle Droid Dark Orange with Back Plate,Star Wars Episode 2
sw0467,Battle Droid Dark Orange without Back Plate,Star Wars Episode 2
sw0061,Battle Droid Geonosian,Star Wars Episode 2
sw0514,"Boba Fett, Young - Light Nougat Head",Star Wars Episode 2
sw0844,"Boba Fett, Young - Light Nougat Head, Crooked Malicious Smile",Star Wars Episode 2
sw0054,"Boba Fett, Young - Yellow Head",Star Wars Episode 2
sw0058,Clone Trooper (Phase 1) - Black Head,Star Wars Episode 2
sw0910,"Clone Trooper (Phase 1) - Printed Legs, Scowl",Star Wars Episode 2
sw0442,Clone Trooper (Phase 1) - Scowl,Star Wars Episode 2
sw0492,Clone Trooper Captain (Phase 1) - Scowl,Star Wars Episode 2
sw1146,"Clone Trooper Commander (Phase 1) - Bright Light Orange Arms, Nougat Head",Star Wars Episode 2
sw0481,"Clone Trooper Commander (Phase 1) - Yellow Arms, Scowl",Star Wars Episode 2
sw0629,"Clone Trooper Lieutenant (Phase 1) - Printed Legs, Scowl",Star Wars Episode 2
sw0502,Clone Trooper Lieutenant (Phase 1) - Scowl,Star Wars Episode 2
sw0609,"Clone Trooper Pilot (Phase 1) - Bright Light Orange Markings, Printed Legs, Scowl",Star Wars Episode 2
sw0491,"Clone Trooper Pilot (Phase 1) - Bright Light Orange Markings, Scowl",Star Wars Episode 2
sw0438,Clone Trooper Sergeant (Phase 1) - Scowl,Star Wars Episode 2
sw1189,"Clone Trooper, Episode 2 - Nougat Head, Printed Legs and Boots",Star Wars Episode 2
sw0480,Coleman Trebor,Star Wars Episode 2
sw0060,Count Dooku,Star Wars Episode 2
sw0472,Count Dooku - White Hair,Star Wars Episode 2
sw0441,Droideka - Destroyer Droid (Pearl Dark Gray Arms Mechanical),Star Wars Episode 2
sw0930,Dwarf Spider Droid (Black Dome),Star Wars Episode 2
sw0965,Dwarf Spider Droid (Dark Bluish Gray Dome),Star Wars Episode 2
sw0473,FA-4 Pilot Droid,Star Wars Episode 2
sw0062,Geonosian - Dark Gray,Star Wars Episode 2
sw0078,Geonosian with Wings,Star Wars Episode 2
sw0845,Jango Fett (Angry),Star Wars Episode 2
sw0053,Jango Fett (Balaclava Head),Star Wars Episode 2
sw0468,Jango Fett (Smile),Star Wars Episode 2
sw0911,Ki-Adi-Mundi (Printed Legs),Star Wars Episode 2
sw0745,Luminara Unduli (Cape),Star Wars Episode 2
sw0116,Luminara Unduli with Light-Up Lightsaber,Star Wars Episode 2
sw1165,"Mace Windu (Dark Tan Legs, Open Mouth)",Star Wars Episode 2
sw0846,Obi-Wan Kenobi (Mid-Length Tousled with Center Part Hair and Headset),Star Wars Episode 2
sw0489,Obi-Wan Kenobi (Mid-Length Tousled with Center Part Hair),Star Wars Episode 2
sw0055,Obi-Wan Kenobi (Young with Dark Orange Hair and Headset),Star Wars Episode 2
sw0055a,"Obi-Wan Kenobi (Young with Dark Orange Hair, without Headset)",Star Wars Episode 2
sw0490,Padme Amidala - Geonosis Arena,Star Wars Episode 2
sw0474,Poggle the Lesser,Star Wars Episode 2
sw0469,Stass Allie,Star Wars Episode 2
sw0092,Super Battle Droid - Pearl Dark Gray,Star Wars Episode 2
sw0056,Super Battle Droid - Pearl Sand Blue,Star Wars Episode 2
sw0471,"Yoda (Olive Green, Neck Bracket)",Star Wars Episode 2
sw0059,Zam Wesell,Star Wars Episode 2
sw0282,2-1B Medical Droid (Badge with Letter 'T' Pattern),Star Wars Episode 3
sw0421,Agen Kolar,Star Wars Episode 3
sw0526,"Anakin Skywalker (Dark Brown Legs, Headset)",Star Wars Episode 3
sw1083,Anakin Skywalker (Dirt Stains),Star Wars Episode 3
sw1095,"Anakin Skywalker (Dirt Stains, Headset)",Star Wars Episode 3
sw0361,Anakin Skywalker (Sith Face),Star Wars Episode 3
sw0419,"Anakin Skywalker (Sith Face, Cape)",Star Wars Episode 3
sw0829,Anakin Skywalker - Transformation Process,Star Wars Episode 3
sw0120,Anakin Skywalker with Black Right Hand,Star Wars Episode 3
sw0139,Anakin Skywalker with Black Right Hand (without Hair),Star Wars Episode 3
sw0121,Anakin Skywalker with Light-up Lightsaber,Star Wars Episode 3
sw0283,"Anakin Skywalker, Battle Damaged with Darth Vader Helmet",Star Wars Episode 3
sw0534,"Astromech Droid, Q7-Series / R4-P22",Star Wars Episode 3
sw0267,"Astromech Droid, R4-P44",Star Wars Episode 3
sw0600,Battle Droid Security with Straight Arm - Solid Pattern on Torso,Star Wars Episode 3
sw0001d,Battle Droid with 2 Straight Arms,Star Wars Episode 3
sw0533,Buzz Droid with Zipline Handle,Star Wars Episode 3
sw0540,Chancellor Palpatine - Episode 3 Dark Bluish Gray Outfit,Star Wars Episode 3
sw0418,Chancellor Palpatine - Episode 3 Dark Red Outfit,Star Wars Episode 3
sw0530,Chief Tarfful,Star Wars Episode 3
sw0523,"Clone Airborne Trooper, 212th Attack Battalion (Phase 2) - Orange Arm, Dirt Stains, Light Bluish Gray Cloth Kama, Scowl",Star Wars Episode 3
sw1100,"Clone Airborne Trooper, 212th Attack Battalion (Phase 2) - White Arms, Dirt Stains, Dark Bluish Gray Cloth Kama, Nougat Head",Star Wars Episode 3
sw0524,"Clone BARC Trooper, 91st Mobile Reconnaissance Corps (Phase 2) - Scowl",Star Wars Episode 3
sw1002,"Clone Scout Trooper, 41st Elite Corps (Phase 2) - Kashyyyk Camouflage, Dark Tan Markings on Legs, Scowl",Star Wars Episode 3
sw0518,"Clone Scout Trooper, 41st Elite Corps (Phase 2) - Kashyyyk Camouflage, Scowl",Star Wars Episode 3
sw0091,"Clone Shock Trooper, Coruscant Guard (Phase 2) - Black Head",Star Wars Episode 3
sw0531,"Clone Shock Trooper, Coruscant Guard (Phase 2) - Large Eyes",Star Wars Episode 3
sw0189,"Clone Shock Trooper, Coruscant Guard (Phase 2) - White Hips, Black Head",Star Wars Episode 3
sw0126,Clone Trooper (Phase 2) - Black Head,Star Wars Episode 3
sw0272,"Clone Trooper (Phase 2) - Dotted Mouth, Black Head",Star Wars Episode 3
sw0541,Clone Trooper (Phase 2) - Scowl,Star Wars Episode 3
sw1003,"Clone Trooper Commander Gree, 41st Elite Corps (Phase 2) - Kashyyyk Camouflage, Dark Tan Markings on Legs, Scowl",Star Wars Episode 3
sw0528,"Clone Trooper Commander Gree, 41st Elite Corps (Phase 2) - Kashyyyk Camouflage, Scowl",Star Wars Episode 3
sw0266,"Clone Trooper Pilot (Phase 2) - Sand Blue Arms and Legs, Frown",Star Wars Episode 3
sw0265,Clone Trooper Pilot Captain Jag (Phase 2) - Frown,Star Wars Episode 3
sw0522,"Clone Trooper, 212th Attack Battalion (Phase 2) - Orange Arms, Dirt Stains, Scowl",Star Wars Episode 3
sw0128a,"Clone Trooper, 327th Star Corps (Phase 2) - Black Head",Star Wars Episode 3
sw0128,"Clone Trooper, 327th Star Corps (Phase 2) - Orange Cloth Pauldron, Black Head",Star Wars Episode 3
sw0138,Darth Vader Episode 3 without Cape,Star Wars Episode 3
sw0966,"Dwarf Spider Droid (Dark Bluish Gray Dome, Mini Blaster / Shooter)",Star Wars Episode 3
sw1030,"Dwarf Spider Droid (Light Bluish Gray Dome, Mini Blaster/Shooter)",Star Wars Episode 3
sw0125,Dwarf Spider Droid (Sand Blue Dome),Star Wars Episode 3
sw0836,FX-Series Medical Assistant Droid,Star Wars Episode 3
sw0134,"General Grievous - Straight Legs, Cape",Star Wars Episode 3
sw0190,IG-100 MagnaGuard (Magna Guard) / Magna Droid,Star Wars Episode 3
sw0163,Kit Fisto,Star Wars Episode 3
sw0422,Kit Fisto with Cape,Star Wars Episode 3
sw0417,Mace Windu (Cape),Star Wars Episode 3
sw0133,Mace Windu with Light-Up Lightsaber (Trans-Light Purple Lightsaber Blade),Star Wars Episode 3
sw0148,"Mace Windu, Non-Light-Up",Star Wars Episode 3
sw0144,Medical Droid,Star Wars Episode 3
sw0835,Medical Droid (Black Legs),Star Wars Episode 3
sw0536,Neimoidian Warrior,Star Wars Episode 3
sw0363,Nute Gunray - Orange Robe,Star Wars Episode 3
sw0135,Obi-Wan Kenobi (Dark Orange Legs),Star Wars Episode 3
sw0362,Obi-Wan Kenobi (Dark Tan Legs),Star Wars Episode 3
sw0535,Obi-Wan Kenobi (Dark Tan Printed Legs),Star Wars Episode 3
sw1082,Obi-Wan Kenobi (Dirt Stains),Star Wars Episode 3
sw0704,Obi-Wan Kenobi (Headset),Star Wars Episode 3
sw0152,"Obi-Wan Kenobi - Light Nougat, Dark Orange Hair and Legs, Gold Headset",Star Wars Episode 3
sw0162,"Obi-Wan Kenobi - Light Nougat, Dark Orange Hair, Tan Legs, Gold Headset",Star Wars Episode 3
sw0234,"Obi-Wan Kenobi - Young, Light Nougat, Reddish Brown Hood and Cape, Gold Headset",Star Wars Episode 3
sw0137,Obi-Wan Kenobi with Light-Up Lightsaber,Star Wars Episode 3
sw0838,Prowler 1000 Exploration Droid,Star Wars Episode 3
sw0420,Saesee Tiin with Cape,Star Wars Episode 3
sw0131,"Scout Trooper Episode 3, 'Kashyyyk Trooper'",Star Wars Episode 3
sw0132,Wookiee Warrior,Star Wars Episode 3
sw1028,"Wookiee Warrior, Printed Legs",Star Wars Episode 3
sw0936,2-1B Medical Droid (Dotted Badge and Peeling Paint Pattern),Star Wars Episode 4/5/6
sw0956,"2-1B Medical Droid (Dotted Badge Pattern, Dark Bluish Gray Legs)",Star Wars Episode 4/5/6
sw0345,"2-1B Medical Droid (Dotted Badge Pattern, Light Bluish Gray Legs)",Star Wars Episode 4/5/6
sw0830,4-LOM,Star Wars Episode 4/5/6
sw0633,Admiral (Colonel) Wullf Yularen,Star Wars Episode 4/5/6
sw0247,Admiral Ackbar,Star Wars Episode 4/5/6
sw0352,Admiral Firmus Piett,Star Wars Episode 4/5/6
sw0145,ASP Droid,Star Wars Episode 4/5/6
sw0683,Assassin Droid (Dark Bluish Gray),Star Wars Episode 4/5/6
sw0215,Assassin Droid (White),Star Wars Episode 4/5/6
sw0555,"Astromech Droid, R2-A5",Star Wars Episode 4/5/6
sw0933,"Astromech Droid, R2-BHD",Star Wars Episode 4/5/6
sw0908,"Astromech Droid, R2-D2, Dirt Stains on Front",Star Wars Episode 4/5/6
sw1200,"Astromech Droid, R2-D2, Dirt Stains on Front and Back",Star Wars Episode 4/5/6
sw0512,"Astromech Droid, R2-D2, Flat Silver Head",Star Wars Episode 4/5/6
sw1202,"Astromech Droid, R2-D2, Flat Silver Head, Dark Pink Dots, Large Receptor, Back Printing",Star Wars Episode 4/5/6
sw0028a,"Astromech Droid, R2-D2, Serving Tray Dark Bluish Gray",Star Wars Episode 4/5/6
sw0217a,"Astromech Droid, R2-D2, Serving Tray Dark Tan",Star Wars Episode 4/5/6
sw0155,"Astromech Droid, R2-D5",Star Wars Episode 4/5/6
sw0943,"Astromech Droid, R2-Q2 (Large Red Dots)",Star Wars Episode 4/5/6
sw0303,"Astromech Droid, R2-Q2 (Small Red Dots)",Star Wars Episode 4/5/6
sw0213,"Astromech Droid, R2-Q5",Star Wars Episode 4/5/6
sw0724,"Astromech Droid, R3-A2",Star Wars Episode 4/5/6
sw0773,"Astromech Droid, R3-M3",Star Wars Episode 4/5/6
sw0895,"Astromech Droid, R3-T2",Star Wars Episode 4/5/6
sw0937,"Astromech Droid, R5-A2",Star Wars Episode 4/5/6
sw0029a,"Astromech Droid, R5-D4, Long Red Stripes on Dome",Star Wars Episode 4/5/6
sw0142,"Astromech Droid, R5-D4, Plain Dome",Star Wars Episode 4/5/6
sw0373,"Astromech Droid, R5-D8 / R5-D4",Star Wars Episode 4/5/6
sw0370,"Astromech Droid, R5-F7",Star Wars Episode 4/5/6
sw0375,"Astromech Droid, R5-J2",Star Wars Episode 4/5/6
sw1104,"AT-AT Driver - Dark Red Imperial Logo, Cheek Lines, Frown",Star Wars Episode 4/5/6
sw1105,"AT-AT Driver - Dark Red Imperial Logo, Cheek Lines, Smile",Star Wars Episode 4/5/6
sw1176,"AT-AT Driver - Dark Red Imperial Logo, Female",Star Wars Episode 4/5/6
sw0581,"AT-AT Driver - Dark Red Imperial Logo, Grimacing",Star Wars Episode 4/5/6
sw0177,"AT-AT Driver - Red Imperial Logo, Bluish Grays, Black Head, Stormtrooper Helmet",Star Wars Episode 4/5/6
sw0262,"AT-AT Driver - Red Imperial Logo, Bluish Grays, Black Head, Stormtrooper Type 2 Helmet",Star Wars Episode 4/5/6
sw0102,"AT-AT Driver - Red Imperial Logo, Yellow Head",Star Wars Episode 4/5/6
sw1208,Aunt Beru Whitesun Lars,Star Wars Episode 4/5/6
sw0074,B'Omarr Monk (Trans-Neon Orange Plate),Star Wars Episode 4/5/6
sw0412,B'Omarr Monk (Trans-Orange Plate),Star Wars Episode 4/5/6
sw0150,Bespin Guard,Star Wars Episode 4/5/6
sw0611,"Bespin Guard - Light Nougat Head, Detailed Gold Trim",Star Wars Episode 4/5/6
sw0762,"Bespin Guard - Light Nougat Head, Detailed Gold Trim, Furrowed Eyebrows",Star Wars Episode 4/5/6
sw0975,"Bespin Guard - Light Nougat Head, Detailed Gold Trim, Moustache",Star Wars Episode 4/5/6
sw0404,"Bib Fortuna - Cape, Light Nougat Skin",Star Wars Episode 4/5/6
sw0076,"Bib Fortuna - Cape, Tan Skin",Star Wars Episode 4/5/6
sw0009,Biggs Darklighter,Star Wars Episode 4/5/6
sw0944,Biggs Darklighter (Dual Molded Helmet),Star Wars Episode 4/5/6
sw1038,Biggs Darklighter (Hair),Star Wars Episode 4/5/6
sw0554,Bith Musician,Star Wars Episode 4/5/6
sw0107,Boba Fett (Cloud City - Printed Arms & Legs),Star Wars Episode 4/5/6
sw0431,Boba Fett - Balaclava Head,Star Wars Episode 4/5/6
sw0002a,Boba Fett - Bluish Grays,Star Wars Episode 4/5/6
sw0002b,Boba Fett - Bluish Grays - Dark Red Helmet Highlights,Star Wars Episode 4/5/6
sw0002,Boba Fett - Classic Grays,Star Wars Episode 4/5/6
sw0822,Boba Fett - Clone Head,Star Wars Episode 4/5/6
sw0396,Boba Fett - Head Beard Stubble,Star Wars Episode 4/5/6
sw0711,Boba Fett - Pauldron Cloth with Dark Orange Stripe Pattern,Star Wars Episode 4/5/6
sw0279,"Boba Fett - Pauldron, Helmet, Jet Pack",Star Wars Episode 4/5/6
sw0610,"Boba Fett - Pauldron, Helmet, Jet Pack, Printed Arms and Legs",Star Wars Episode 4/5/6
sw0977,"Boba Fett - Pauldron, Helmet, Jet Pack, Printed Arms and Legs, Clone Head",Star Wars Episode 4/5/6
sw0828,Bossk - Olive Green,Star Wars Episode 4/5/6
sw0280,Bossk - Sand Green,Star Wars Episode 4/5/6
sw0407,Boushh,Star Wars Episode 4/5/6
sw0158,C-3PO - Chrome Gold (SW 30th Anniversary Edition),Star Wars Episode 4/5/6
sw0365,C-3PO - Colorful Wires Pattern,Star Wars Episode 4/5/6
sw0700,"C-3PO - Colorful Wires, Printed Legs",Star Wars Episode 4/5/6
sw1209,"C-3PO - Molded Light Bluish Gray Right Foot, Printed Arms",Star Wars Episode 4/5/6
sw0161a,C-3PO - Pearl Gold with Pearl Gold Hands,Star Wars Episode 4/5/6
sw0161,C-3PO - Pearl Gold with Pearl Light Gold Hands,Star Wars Episode 4/5/6
sw0010,C-3PO - Pearl Light Gold,Star Wars Episode 4/5/6
sw0561,C-3PO - Printed Legs (Robot Limiter/Restraining Bolt),Star Wars Episode 4/5/6
sw1201,"C-3PO - Printed Legs, Toes and Arms",Star Wars Episode 4/5/6
sw0256,Captain Antilles,Star Wars Episode 4/5/6
sw1035,Captain Antilles (Dark Tan Shirt),Star Wars Episode 4/5/6
sw0011,Chewbacca (Brown),Star Wars Episode 4/5/6
sw1184,Chewbacca - Snow,Star Wars Episode 4/5/6
sw0236,Chief Chirpa (Ewok),Star Wars Episode 4/5/6
sw0969,Cloud Car Pilot,Star Wars Episode 4/5/6
sw0250,"Crix Madine, Dark Tan Hips and Legs",Star Wars Episode 4/5/6
sw0250a,"Crix Madine, Tan Hips and Legs",Star Wars Episode 4/5/6
sw1025,Dak Ralter (Jumpsuit Pockets and Three Bullets on Right Leg),Star Wars Episode 4/5/6
sw0012a,Dak Ralter (with Dark Bluish Gray Hips),Star Wars Episode 4/5/6
sw0567,Dak Ralter (with Pockets on Legs),Star Wars Episode 4/5/6
sw0012b,"Dak Ralter - Dark Bluish Gray Hips, Light Nougat Head",Star Wars Episode 4/5/6
sw0012,Dak Ralter with Dark Gray Hips,Star Wars Episode 4/5/6
sw1029,Darth Vader (20th Anniversary Torso),Star Wars Episode 4/5/6
sw0386,Darth Vader (Black Head),Star Wars Episode 4/5/6
sw0232,Darth Vader (Death Star torso - no Eyebrows),Star Wars Episode 4/5/6
sw0209,Darth Vader (Death Star torso),Star Wars Episode 4/5/6
sw0214,Darth Vader (Imperial Inspection - Eyebrows),Star Wars Episode 4/5/6
sw0123,Darth Vader (Imperial Inspection),Star Wars Episode 4/5/6
sw0004a,Darth Vader (Light Bluish Gray Head),Star Wars Episode 4/5/6
sw0004,Darth Vader (Light Gray Head),Star Wars Episode 4/5/6
sw1106,"Darth Vader (Printed Arms, Spongy Cape)",Star Wars Episode 4/5/6
sw1112,"Darth Vader (Printed Arms, Traditional Starched Fabric Cape)",Star Wars Episode 4/5/6
sw0586,Darth Vader (Tan Head),Star Wars Episode 4/5/6
sw1141,Darth Vader (Traditional Starched Fabric Cape),Star Wars Episode 4/5/6
sw0636,Darth Vader (Type 2 Helmet),Star Wars Episode 4/5/6
sw0277,Darth Vader (White Pupils),Star Wars Episode 4/5/6
sw0218,Darth Vader - Chrome Black,Star Wars Episode 4/5/6
sw0117,Darth Vader with Light-Up Lightsaber,Star Wars Episode 4/5/6
sw0768,Death Star Droid,Star Wars Episode 4/5/6
sw0374,Death Star Trooper,Star Wars Episode 4/5/6
sw0769,Death Star Trooper (Imperial Navy Trooper),Star Wars Episode 4/5/6
sw0149,Dengar,Star Wars Episode 4/5/6
sw0350,Dengar (Light Bluish Gray Torso),Star Wars Episode 4/5/6
sw0751,Dengar (White Torso),Star Wars Episode 4/5/6
sw1125,Dr. Cornelius Evazan,Star Wars Episode 4/5/6
sw0634,Emperor Palpatine,Star Wars Episode 4/5/6
sw1107,Emperor Palpatine (Hood Basic),Star Wars Episode 4/5/6
sw0124,"Emperor Palpatine - Light Bluish Gray Head, Light Bluish Gray Hands",Star Wars Episode 4/5/6
sw0595,"Emperor Palpatine - Tan Head, Tan Hands",Star Wars Episode 4/5/6
sw0066,"Emperor Palpatine - Yellow Head, Black Hands",Star Wars Episode 4/5/6
sw0041,"Emperor Palpatine - Yellow Head, Yellow Hands",Star Wars Episode 4/5/6
sw0240,Endor Rebel Commando - Beard,Star Wars Episode 4/5/6
sw0511,Endor Rebel Commando - Beard and Angry Dual Sided Head,Star Wars Episode 4/5/6
sw0367,Endor Rebel Commando - Dark Tan Vest,Star Wars Episode 4/5/6
sw0239,Endor Rebel Commando - Frown,Star Wars Episode 4/5/6
sw0368,Endor Rebel Commando - Stubble,Star Wars Episode 4/5/6
sw0507,Endor Rebel Trooper (Sand Green),Star Wars Episode 4/5/6
sw0645,Endor Rebel Trooper 1 (Olive Green),Star Wars Episode 4/5/6
sw0646,Endor Rebel Trooper 2 (Olive Green) (Commander Rex),Star Wars Episode 4/5/6
sw0072,EV-9D9,Star Wars Episode 4/5/6
sw0508,Ewok Warrior,Star Wars Episode 4/5/6
sw0050,"Ewok, Brown Hood (Wicket)",Star Wars Episode 4/5/6
sw0067,"Ewok, Tan Hood (Paploo)",Star Wars Episode 4/5/6
sw0959,FX-7 Medical Assistant Droid,Star Wars Episode 4/5/6
sw0075,Gamorrean Guard (Dark Gray Arms),Star Wars Episode 4/5/6
sw0405,"Gamorrean Guard (Olive Green, Detailed)",Star Wars Episode 4/5/6
sw0087,Gamorrean Guard (Reddish Brown Arms),Star Wars Episode 4/5/6
sw1127,Garindan,Star Wars Episode 4/5/6
sw0557,General Airen Cracken,Star Wars Episode 4/5/6
sw1140,General Jan Dodonna,Star Wars Episode 4/5/6
sw0579,General Maximillian Veers,Star Wars Episode 4/5/6
sw1154,General Maximillian Veers - Cap,Star Wars Episode 4/5/6
sw1175,General Maximillian Veers - Dual Molded Legs,Star Wars Episode 4/5/6
sw0178,General Maximillian Veers - Goggles Print and Dark Bluish Gray Helmet,Star Wars Episode 4/5/6
sw1101,General Maximillian Veers - Helmet with Goggles Print,Star Wars Episode 4/5/6
sw0289,General Maximillian Veers - Light Bluish Gray Helmet and Armor,Star Wars Episode 4/5/6
sw0460,General Rieekan,Star Wars Episode 4/5/6
sw0562,"Gonk Droid (GNK Power Droid), Dark Bluish Gray",Star Wars Episode 4/5/6
sw0073a,"Gonk Droid (GNK Power Droid), Dark Bluish Gray Body and Light Bluish Gray Legs",Star Wars Episode 4/5/6
sw1041,"Gonk Droid (GNK Power Droid), Dark Turquoise",Star Wars Episode 4/5/6
sw0073,"Gonk Droid (GNK Power Droid), Light and Dark Gray",Star Wars Episode 4/5/6
sw0430,"Gonk Droid (GNK Power Droid), Light Bluish Gray Body and Dark Bluish Gray Legs",Star Wars Episode 4/5/6
sw0767,"Gonk Droid (GNK Power Droid), Reddish Brown",Star Wars Episode 4/5/6
sw0157,Grand Moff Wilhuff Tarkin - Smooth Hair,Star Wars Episode 4/5/6
sw0770,Grand Moff Wilhuff Tarkin - Swept Back Hair,Star Wars Episode 4/5/6
sw0558,Gray Squadron Pilot,Star Wars Episode 4/5/6
sw0110,Greedo,Star Wars Episode 4/5/6
sw0898,Greedo (with Belt on Torso),Star Wars Episode 4/5/6
sw0553,Greedo (with Belt),Star Wars Episode 4/5/6
sw0356,Han Solo (Celebration),Star Wars Episode 4/5/6
